,0
Maternal Plasma Fatty Acids - Plasma_Total_n6_percent at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)"
Maternal Plasma Fatty Acids - Plasma_SFA_conc_mcg_ml at pregnancy week 26,"Fatty acids (15:0) levels, Very long-chain saturated fatty acid levels (fatty acid 24:0), Very long-chain saturated fatty acid levels (fatty acid 22:0), Very long-chain saturated fatty acid levels (fatty acid 20:0), Total fatty acids levels (UKB data field 23442)"
Maternal Plasma Fatty Acids - Plasma_Total_SFA_percent at pregnancy week 26,"Saturated fatty acids levels (UKB data field 23448), Very long-chain saturated fatty acid levels (fatty acid 20:0), Very long-chain saturated fatty acid levels (fatty acid 22:0), Very long-chain saturated fatty acid levels (fatty acid 24:0), Total fatty acids levels (UKB data field 23442)"
Maternal Plasma Fatty Acids - Plasma_MUFA_conc_mcg_ml at pregnancy week 26,"Monounsaturated fatty acids levels (UKB data field 23447), Fasting monounsaturated fatty acids (16:1, 18:1), Breast milk fatty acid composition (maternal genotype effect), Breast milk fatty acid composition (infant genotype effect), Postprandial monounsaturated fatty acids (16:1, 18:1)"
Maternal Plasma Fatty Acids - Plasma_Total_MUFA_percent at pregnancy week 26,"Monounsaturated fatty acids levels (UKB data field 23447), Monounsaturated fatty acid levels, Postprandial monounsaturated fatty acids (16:1, 18:1), Fasting monounsaturated fatty acids (16:1, 18:1), Monounsaturated fatty acids to total fatty acids percentage (UKB data field 23454)"
Maternal Plasma Fatty Acids - Plasma_PUFA_conc at pregnancy week 26,"Breast milk fatty acid composition (maternal genotype effect), Plasma omega-3 polyunsaturated fatty acid levels (docosapentaenoic acid), Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid), Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid)"
Maternal Plasma Fatty Acids - Plasma_Total_PUFA_percent at pregnancy week 26,"Total fatty acids levels (UKB data field 23442), Polyunsaturated fatty acids levels (UKB data field 23446), Polyunsaturated fatty acid levels, Serum total polyunsaturated fatty acid concentration in metabolic syndrome, Polyunsaturated fatty acids to total fatty acids percentage (UKB data field 23453)"
Maternal Plasma Fatty Acids - Ratio_Plasma_n3_to_n6 at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Omega-6 fatty acids to omega-3 fatty acids ratio (UKB data field 23459)"
Maternal Plasma Fatty Acids - Ratio_Plasma_n6_to_n3 at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)"
Maternal Plasma Fatty Acids - Ratio_Plasma_AA_to_DHA at pregnancy week 26,"Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid), Serum docosahexaenoic fatty acid concentration in metabolic syndrome, Ratio of docosahexaenoic acid to total fatty acid levels, Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)"
Maternal Plasma Fatty Acids - Ratio_Plasma_AA_to_EPA at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid), Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid), Serum omega-6 to omega-3 polyunsaturated fatty acid ratio in metabolic syndrome, Serum omega-3 polyunsaturated fatty acid concentration in metabolic syndrome."
Maternal Plasma Fatty Acids - Ratio_Plasma_DHA_to_DPA at pregnancy week 26,"Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid), Plasma omega-3 polyunsaturated fatty acid levels (docosapentaenoic acid), Breast milk fatty acid composition (maternal genotype effect), Ratio of docosahexaenoic acid to total fatty acid levels, Serum docosahexaenoic fatty acid concentration in metabolic syndrome"
Maternal Plasma fatty acids-Ratio_Plasma_AA_to_DHAEPA at pregnancy week 26,"Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid), Plasma omega-3 polyunsaturated fatty acid levels (eicosapentaenoic acid), Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Ratio of docosahexaenoic acid to total fatty acid levels, Ratio of 22:6 docosahexaenoic acid to total fatty acids"
Maternal Plasma Vitamin B2 - Flavin Mononucleotide (nmol/L)- Bevital panel at pregnancy week 26,"Vitamin B2 intake, Folate pathway vitamin levels, Vitamin levels, Serum folate levels, Vitamin B12 levels."
Maternal Plasma Vitamin B2 - Neopterin (nmol/L) - Bevital panel at pregnancy week 26,"Midgestational total 25-hydroxyvitamin D levels (antenatal blood), Midgestational total 25-hydroxyvitamin D levels (fetal genetic effect), Midgestational total 25-hydroxyvitamin D levels (maternal genetic effect), Neonatal total 25-hydroxyvitamin D levels (cord blood), Folate pathway vitamin levels."
Maternal Plasma Vitamin B2 - Riboflavin (nmol/L) - Bevital panel at pregnancy week 26,"Vitamin levels, Serum folate levels, Vitamin B12 levels, Retinol (Vitamin A) levels, Folate pathway vitamin levels."
Maternal Plasma Vitamin B3 - N1-methylnicotinamide (nmol/L) - Bevital panel at pregnancy week 26,"Vitamin levels, Folate pathway vitamin levels, Vitamin B1 intake, Vitamin B12 levels, Retinol (Vitamin A) levels"
Maternal Plasma Vitamin B3 - Nicotinamide (nmol/L) - Bevital panel at pregnancy week 26,"Nicotinamide levels, Folate pathway vitamin levels, Vitamin levels, Serum 25-Hydroxyvitamin D levels, Retinol (Vitamin A) levels."
Maternal Plasma Vitamin B3 - Nicotinic acid (nmol/L) - Bevital panel at pregnancy week 26,"Plasma metabolome feature (hilic_4134) (Nicotinic acid mononucleotide), Nicotinamide levels, Vitamin levels, Folate pathway vitamin levels, Retinol (Vitamin A) levels."
Maternal Plasma Vitamin B3 - Trigonelline (µmol/L) - Bevital panel at pregnancy week 26,"Vitamin levels, Folate pathway vitamin levels, Serum 25-Hydroxyvitamin D levels, Vitamin B1 intake, Vitamin B12 levels"
Maternal Plasma Vitamin B6 - Pyridoxal (nmol/L) - Bevital panel at pregnancy week 26,"Folate pathway vitamin levels, Vitamin levels, Serum folate levels, Vitamin C levels, Retinol (Vitamin A) levels."
Maternal Plasma Vitamin B6 - Pyridoxal 5-phosphate (nmol/L) - Bevital panel at pregnancy week 26,"Vitamin levels, Folate pathway vitamin levels, Retinol (Vitamin A) levels, Vitamin C levels, Serum 25-Hydroxyvitamin D levels."
Maternal Plasma vitamin B6 - PLP (nmoles/L) at pregnancy week 26,"Vitamin levels, Midgestational total 25-hydroxyvitamin D levels (antenatal blood), Neonatal total 25-hydroxyvitamin D levels (cord blood), Neonatal total 25-hydroxyvitamin D levels (maternal genetic effect), Midgestational total 25-hydroxyvitamin D levels (maternal genetic effect)"
Maternal Plasma vitamin B6 - PLP categories - Sufficient (≥ 20 nmol/L); Deficient (< 20 nmol/L) at pregnancy week 26,"'Midgestational total 25-hydroxyvitamin D levels (antenatal blood), Midgestational total 25-hydroxyvitamin D levels (fetal genetic effect), Midgestational total 25-hydroxyvitamin D levels (maternal genetic effect), Neonatal total 25-hydroxyvitamin D levels (cord blood), Vitamin levels'"
Maternal Plasma Vitamin B6 - Pyridoxic acid (nmol/L) - Bevital panel at pregnancy week 26,"Plasma pyridoxal phosphate levels, Folate pathway vitamin levels, Retinol (Vitamin A) levels, Vitamin C levels, Plasma pyridoxic acid to pyridoxal phosphate ratio"
Maternal Plasma Vitamin B6 - Pyridoxic acid (nmol/L) at pregnancy week 26. Low detection values indicated by 8888,"Plasma pyridoxic acid to pyridoxal phosphate ratio, Plasma pyridoxal phosphate levels, Pyridoxal levels, RBC levels of Pyridoxal, Pyridoxal phosphate homeostasis protein levels."
Maternal Plasma Vitamin B6 - Pyridoxine (nmol/L) - Bevital panel at pregnancy week 26,"Vitamin levels, Folate pathway vitamin levels, Pregnancy-specific beta-1-glycoprotein 4 levels, Pregnancy-specific beta-1-glycoprotein 5 levels, Pregnancy-specific beta-1-glycoprotein 9 levels."
Maternal Plasma Vitamin B12 - Plasma Vitamin B12 (pg/ml) at pregnancy week 26,"Vitamin B12 levels, Vitamin levels, Transcobalamin-1 levels, Transcobalamin-2 levels, Holo-Transcobalamin-2 levels"
Maternal Three categories by clinical cut-offs - Sufficient (≥ 300 pg/ml); Marginally deficient (200-299 pg/ml); Deficient (< 200 pg/ml) at pregnancy week 26,"Pregnanolone/allopregnanolone sulfate levels, Midgestational total 25-hydroxyvitamin D levels (antenatal blood), Pregnanediol-3-glucuronide levels, 5alpha-pregnan-3beta,20alpha-diol monosulfate (2) levels, 5alpha-pregnan-3beta,20alpha-diol disulfate levels."
Maternal Two categories - Sufficient (≥ 300 pg/ml); Deficient (< 300 pg/ml) at pregnancy week 26,"5alpha-pregnan-3beta,20alpha-diol monosulfate (2) levels, Pregnancy-specific beta-1-glycoprotein 2 levels, Pregnanolone/allopregnanolone sulfate levels, 5alpha-pregnan-3beta,20beta-diol monosulfate (1) levels, 5alpha-pregnan-3beta,20alpha-diol disulfate levels"
Maternal Plasma Vitamin D3 - Plasma Vitamin D (nmol/L) at pregnancy week 26,"Midgestational total 25-hydroxyvitamin D levels (antenatal blood), Midgestational total 25-hydroxyvitamin D levels (fetal genetic effect), Midgestational total 25-hydroxyvitamin D levels (maternal genetic effect), Serum 25-Hydroxyvitamin D levels, 25-Hydroxyvitamin D levels"
Maternal Plasma Vitamin D3 - 3 categories (nmol/L) - Sufficient (>= 50 nmol/L); Marginally Deficient (30-49 nmol/L); Deficient (< 30 nmol/L)  (Reference:IOM) at pregnancy week 26,"Midgestational total 25-hydroxyvitamin D levels (antenatal blood), Serum 25-Hydroxyvitamin D levels, 25-Hydroxyvitamin D levels, Bioavailable vitamin D levels in type 2 diabetes, Vitamin D levels (dietary vitamin D intake interaction)"
Maternal Plasma Vitamin D3 - 3 categories (nmol/L) - Sufficient (> 75 nmol/L); Insufficient (50-75 nmol/L); Deficient (< 50 nmol/L) (Reference: Endocrine Society ) at pregnancy week 26,"Midgestational total 25-hydroxyvitamin D levels (antenatal blood), Midgestational total 25-hydroxyvitamin D levels (fetal genetic effect), Midgestational total 25-hydroxyvitamin D levels (maternal genetic effect), Neonatal total 25-hydroxyvitamin D levels (cord blood), Neonatal total 25-hydroxyvitamin D levels (maternal genetic effect)"
Maternal Amino Acid & Intermediates: Arginine & Metabolites  - Arginine (µmol/L) -Bevital panel at pregnancy week 26,"Arginine levels (Metabolon platform), L-arginine levels, Arginine levels (Biocrates platform), Plasma metabolome feature (c18_789) (Arginine), Metabolite levels (arginine)"
Maternal Amino Acid & Intermediates: Arginine & Metabolites  - Asymmetric dimethylarginine (µmol/L) -Bevital panel at pregnancy week 26,"Asymmetric dimethylarginine (µmol/L) -Bevital panel, Arginine levels (Metabolon platform), Arginine levels (Biocrates platform), Metabolite levels (arginine), Asymmetrical dimethylarginine levels."
Maternal Amino Acid & Intermediates: Arginine & Metabolites  - Creatine (µmol/L) -Bevital panel at pregnancy week 26,"Metabolite levels (creatine), Metabolite levels (arginine), Arginine levels (Metabolon platform), Arginine levels (Biocrates platform), Plasma metabolome feature (c18_789) (Arginine)"
Maternal Amino Acid & Intermediates: Arginine & Metabolites  - Creatinine (µmol/L) -Bevital panel at pregnancy week 26,"Metabolite levels (arginine), Arginine levels (Biocrates platform), Arginine levels (Metabolon platform), L-arginine levels, Plasma arginine levels in chronic kidney disease."
Maternal Amino Acid & Intermediates: Arginine & Metabolites  - Homoarginine (µmol/L) -Bevital panel at pregnancy week 26,"Homoarginine levels, Plasma homoarginine levels in chronic kidney disease, Urine homoarginine levels in chronic kidney disease, Homoarginine levels in elite athletes, Metabolite levels (homoarginine)"
Maternal Amino Acid & Intermediates: Arginine & Metabolites  - Symmetric dimethylarginine (µmol/L) -Bevital panel at pregnancy week 26,"Arginine levels (Metabolon platform), L-arginine levels, Arginine levels (Biocrates platform), Metabolite levels (arginine), Arginine levels."
Maternal Amino Acid & Intermediates: Arginine & Metabolites  - Trimethyllysine (µmol/L) -Bevital panel at pregnancy week 26,"Plasma metabolome feature (c18_789) (Arginine), Arginine levels (Metabolon platform), Arginine levels (Biocrates platform), Metabolite levels (arginine), Plasma arginine levels in chronic kidney disease."
Maternal Amino Acid & Intermediates: Cysteine & Metabolites  - Cystathionine (µmol/L) -Bevital panel at pregnancy week 26,"Cystathionine levels, Metabolite levels (cystathionine; cmh_cystathionine), Plasma cystathionine levels in chronic kidney disease, Cysteine levels, Cysteinylglycine levels."
Maternal Amino Acid & Intermediates: Cysteine & Metabolites  - Total Homocysteine (µmol/L) - Bevital panel at pregnancy week 26,"Plasma homocysteine levels, Homocysteine levels, Plasma homocysteine levels (post-methionine load test), Metabolite levels (S-adenosylhomocysteine (SAH); ___adenosylhomocysteine; S_Ado_homocysteine), RBC levels of S-Adenosyl-L-homocysteine."
Maternal Amino Acid & Intermediates: Cysteine & Metabolites  - Total cysteine (µmol/L) - Bevital panel at pregnancy week 26,"Cysteine levels, Metabolite levels (cysteinylglycine), Plasma cysteinylglycine levels in chronic kidney disease, Urine cysteinylglycine levels in chronic kidney disease, Metabolite levels (cysteinylglycine disulfide)"
Maternal Amino Acid & Intermediates: Histidine & Metabolites  - 1-Methylhistidine (1-MH) (µmol/L) - Bevital panel at pregnancy week 26,"1-Methylhistidine (1-MH) (µmol/L) - Bevital panel at pregnancy week 26, Metabolite levels (1-methylhistidine), 1-methylhistidine levels, Urine 1-methylhistidine levels in chronic kidney disease, N-acetyl-1-methylhistidine levels in elite athletes"
Maternal Amino Acid & Intermediates: Histidine & Metabolites  - 3-Methylhistidine (3-MH) (µmol/L) - Bevital panel at pregnancy week 26,"1-methylhistidine levels, Plasma metabolome feature (c18_1013) (N-Acetylhistidine), Metabolite levels (N-acetylhistidine), Metabolite levels (N-acetyl-1-methylhistidine), Metabolite levels (N-acetyl-3-methylhistidine)"
Maternal Amino Acid & Intermediates: Histidine & Metabolites  - Histidine (µmol/L) - Bevital panel at pregnancy week 26,"Histidine levels (Metabolon platform), Histidine levels (Biocrates platform), Histidine levels (UKB data field 23463), N-acetylhistidine levels, Histidine meal response (LMM)"
Maternal Amino Acid & Intermediates: Methionine & Metabolites  - Methionine (µmol/L) - Bevital panel at pregnancy week 26,"Methionine levels, Methionine levels (Biocrates platform), Methionine levels (Metabolon platform), RBC levels of Methionine, Plasma homocysteine levels (post-methionine load test)"
Maternal Amino Acid & Intermediates: Methionine & Metabolites  - Methionine sulfoxide (µmol/L) - Bevital panel at pregnancy week 26,"Methionine levels, Methionine levels (Metabolon platform), Methionine levels (Biocrates platform), Methionine sulfone levels, Urine methionine sulfoxide levels in chronic kidney disease"
Maternal Amino Acid & Intermediates: Tryptophan & Metabolites  - 3-Hydroxyanthranilic acid (nmol/L) - Bevital panel at pregnancy week 26,"Metabolite levels (tryptophan), Tryptophan levels, Plasma metabolome feature (hilic_2249) (L-Tryptophan), Tryptophan levels (Metabolon platform), Tryptophan levels (Biocrates platform)"
Maternal Amino Acid & Intermediates: Tryptophan & Metabolites  - 3-Hydroxykynurenine (nmol/L) - Bevital panel at pregnancy week 26,"Plasma metabolome feature (hilic_2249) (L-Tryptophan), Metabolite levels (tryptophan), Tryptophan levels, Tryptophan levels (Biocrates platform), Tryptophan levels (Metabolon platform)"
Maternal Amino Acid & Intermediates: Tryptophan & Metabolites  - Anthranilic acid (nmol/L) - Bevital panel at pregnancy week 26,"Plasma metabolome feature (hilic_2249) (L-Tryptophan), Metabolite levels (tryptophan), Tryptophan levels, Tryptophan levels (Metabolon platform), Tryptophan levels (Biocrates platform)"
Maternal Amino Acid & Intermediates: Tryptophan & Metabolites  - Kynurenic acid (nmol/L) - Bevital panel at pregnancy week 26,"Plasma metabolome feature (hilic_2249) (L-Tryptophan), Metabolite levels (tryptophan), Tryptophan levels, Tryptophan levels (Biocrates platform), Tryptophan levels (Metabolon platform)"
Maternal Amino Acid & Intermediates: Tryptophan & Metabolites  - Kynurenine (µmol/L) - Bevital panel at pregnancy week 26,"Plasma metabolome feature (hilic_2278) (Kynurenine), Metabolite levels (kynurenine; cmh_kynurenine; Kynurenine), Kynurenine levels, Plasma kynurenine to tryptophan ratio in major depressive disorder, Metabolite levels (tryptophan)"
Maternal Amino Acid & Intermediates: Tryptophan & Metabolites  - Quinolinic acid (nmol/L) - Bevital panel at pregnancy week 26,"Plasma metabolome feature (c18_713) (Quinolinic acid), Metabolite levels (tryptophan), Tryptophan levels, Tryptophan levels (Biocrates platform), Tryptophan levels (Metabolon platform)"
Maternal Amino Acid & Intermediates: Tryptophan & Metabolites  - Tryptophan (µmol/L) - Bevital panel at pregnancy week 26,"Tryptophan levels, Plasma metabolome feature (hilic_2249) (L-Tryptophan), Tryptophan levels (Biocrates platform), Tryptophan levels (Metabolon platform), N-acetyl-d-tryptophan levels."
Maternal Amino Acid & Intermediates: Tryptophan & Metabolites  - Xanthurenic acid (nmol/L) - Bevital panel at pregnancy week 26,"Plasma metabolome feature (hilic_2249) (L-Tryptophan), Metabolite levels (tryptophan), Tryptophan levels (Biocrates platform), Tryptophan levels (Metabolon platform), Urine tryptophan levels in chronic kidney disease."
Maternal Choline Metabolism: Choline & Metabolites  - Betaine (µmol/L) - Bevital panel at pregnancy week 26,"Choline levels, RBC levels of Choline, Plasma choline levels in chronic kidney disease, Urine choline levels in chronic kidney disease, Choline phosphate levels."
Maternal Choline Metabolism: Choline & Metabolites  - Choline (µmol/L) - Bevital panel at pregnancy week 26,"Choline levels (elderly offspring), Plasma choline levels in chronic kidney disease, Choline phosphate levels, Urine choline levels in chronic kidney disease, Phosphatidylcholine and other choline levels"
Maternal Choline Metabolism: Choline & Metabolites  - Dimethylglycine (µmol/L) - Bevital panel at pregnancy week 26,"Choline levels (elderly offspring), RBC levels of Choline, Plasma choline levels in chronic kidney disease, Choline levels, Urine choline levels in chronic kidney disease."
Maternal Choline Metabolism: Choline & Metabolites  - Trimethylamineoxide (µmol/L) - Bevital panel at pregnancy week 26,"Choline levels (elderly offspring), RBC levels of Choline, Plasma choline levels in chronic kidney disease, Choline/ethanolamine kinase levels (CHKB.13117.232.3), Urine choline levels in chronic kidney disease"
Maternal Cotinine: Cotinine & Metabolite  - Cotinine (nmol/L) - Bevital panel at pregnancy week 26,"Cotinine levels in current smokers, Cotinine and 3'-hydroxycotinine levels in current smokers, Cotinine levels in smokers with chronic obstructive pulmonary disease, Cotinine glucuronidation, Serum levels of protein COTL1."
Maternal Cotinine: Cotinine & Metabolite  - Trans-3-Hydroxy Cotinine (nmol/L) - Bevital panel at pregnancy week 26,"Cotinine levels in current smokers, Cotinine and 3'-hydroxycotinine levels in current smokers, Cotinine levels in smokers with chronic obstructive pulmonary disease, Cotinine glucuronidation, Serum levels of protein COTL1."
Hemolysis,"Sickle cell anemia (haemolysis), Hemolysis of donated blood (osmotic), Hemolysis of donated blood (oxidative), Hemolysis of donated blood (cold-storage), Osmotic hemolysis of cold stored red blood cells."
Homocysteine (Reported Values: 6-20 µmol/L),"Homocysteine levels, Plasma homocysteine levels, Plasma homocysteine levels (post-methionine load test), RBC levels of S-Adenosyl-L-homocysteine, Metabolite levels (S-adenosylhomocysteine (SAH); ___adenosylhomocysteine; S_Ado_homocysteine)"
Choline (Reported Values: 5-15 µmol/L),"Choline levels, Total cholines levels, Choline phosphate levels, Choline levels (advanced age), RBC levels of Choline."
Betaine (Reported Values: 20-60 µmol/L),"Betaine levels, Plasma betaine levels in chronic kidney disease, Urine betaine levels in chronic kidney disease, Betaine levels in elite athletes, Betaine levels in individuals undergoing cardiac evaluation."
Dimethylglycine (Reported Values: 1.5–5 µmol/L),"Dimethylglycine levels, Metabolite levels (dimethylglycine), Dimethylglycine levels in elite athletes, Dimethylglycine levels in chronic kidney disease, Plasma dimethylglycine levels in chronic kidney disease"
Creatinine (Reported Values: 50-100 µmol/L),"Creatinine levels, Serum creatinine levels, Urinary creatinine levels, Creatinine levels (UKB data field 23478), Creatinine levels (UKB data field 30700)"
Methionine (Reported Values: 18-50 µmol/L),"Methionine levels (Biocrates platform), Methionine levels, Methionine levels (Metabolon platform), Methionine sulfone levels, Methionine sulfoxide levels"
Methioninesulfate (Reported Values: 0.5-5 µmol/L),"Methionine sulfoxide levels, Methionine sulfone levels, Metabolite levels (methionine sulfone), Methionine levels (Biocrates platform), Methionine levels (Metabolon platform)"
Arginine (Reported Values: 40-100 µmol/L),"Arginine levels (Biocrates platform), Arginine levels, L-arginine levels, Arginine levels (Metabolon platform), Plasma arginine levels in chronic kidney disease"
ADMA (Reported Values: 0.4-0.8 µmol/L),"ADMA levels, Dimethylarginine (sdma + adma) levels, Metabolite levels (dimethylarginine (SDMA + ADMA); ADMA), Metabolite levels (SDMA), Serum levels of protein ADM"
SDMA (Reported Values: 0.4-0.9 µmol/L),"Metabolite levels (SDMA), Metabolite levels (dimethylarginine (SDMA + ADMA); ADMA), Urine dimethylarginine (SDMA + ADMA) levels in chronic kidney disease, Plasma dimethylarginine (SDMA + ADMA) levels in chronic kidney disease, Metabolite levels (NMMA)"
Homoarginine (Reported Values: 1-6 µmol/L),"Homoarginine levels, Plasma homoarginine levels in chronic kidney disease, Urine homoarginine levels in chronic kidney disease, Metabolite levels (homoarginine), Homoarginine levels in elite athletes."
Trimethyllysine (Reported Values: 0.3-2 µmol/L),"N6,n6,n6-trimethyllysine levels, Plasma trimethyllysine levels, Hydroxy-N6,N6,N6-trimethyllysine levels, Metabolite levels (N-6-trimethyllysine; N6,N6,N6-trimethyllysine; N6.N6.N6-trimethyllysine), 1,3,7-trimethylurate levels"
Cysteine (Reported Values: 150-400 µmol/L),"Cysteine levels, Cysteine levels in elite athletes, Urine cysteine levels in chronic kidney disease, Cysteine-rich protein 1 levels, Cysteine-rich protein 2 levels."
Histidine (Reported Values: 50-100 µmol/L),"Histidine levels, Histidine levels (Biocrates platform), Histidine levels (UKB data field 23463), Histidine levels (Metabolon platform), Fasting histidine"
Trimethylamine N oxide (Reported Values: 0.5-60 µmol/L),"Trimethylamine N oxide (Reported Values: 0.5-60 µmol/L), Plasma trimethylamine N-oxide levels, Trimethylamine N-oxide levels in elite athletes, Trimethylamine levels, N6,n6,n6-trimethyllysine levels"
Creatine (Reported Values: 10-100 µmol/L),"Creatine levels, Metabolite levels (creatine), Creatine levels in elite athletes, Creatine kinase M-type levels (CKM.2670.67.4), Creatine kinase levels."
m1Histidine (Reported Values: 0.5-15 µmol/L),"Metabolite levels (1-methylhistidine), N-acetyl-1-methylhistidine levels, Metabolite levels (N-acetyl-1-methylhistidine), 1-methylhistidine levels in elite athletes, Histidine levels (UKB data field 23463)"
m3Histidine (Reported Values: 2.7-10 µmol/L),"3-methylhistidine levels in elite athletes, N-acetyl-3-methylhistidine levels, Metabolite levels (N-acetyl-3-methylhistidine), 1-methylhistidine levels, 1-methylhistidine levels in elite athletes."
Pyridoxal phosphate (Reported Values: 15–150 nmol//L),"Plasma pyridoxal phosphate levels, Pyridoxal 5'-phosphate levels, Cerebrospinal fluid pyridoxal phosphate levels, Plasma pyridoxal phosphate to pyridoxal ratio, Plasma pyridoxic acid to pyridoxal phosphate ratio"
Pyridoxal (Reported Values: 5–150 nmol/L),"Pyridoxal levels, RBC levels of Pyridoxal, Pyridoxal 5'-phosphate levels, Plasma pyridoxal phosphate levels, Cerebrospinal fluid pyridoxal phosphate to pyridoxal ratio."
Pyridoxic acid (Reported Values: 10–200 nmol/L),"Plasma pyridoxic acid to pyridoxal phosphate ratio, Pyridoxal levels, Pyridoxal 5'-phosphate levels, Plasma pyridoxal phosphate levels, Plasma pyridoxal phosphate to pyridoxal ratio"
Pyridoxine (Reported Values: NA),"Pyridoxal levels, Pyridoxamine levels, Pyridoxal 5'-phosphate levels, RBC levels of Pyridoxal, Cerebrospinal fluid pyridoxal phosphate levels"
Thiamine (Reported Values: 2–50 nmol/L),"Thiamin pyrophosphokinase 1 levels, Threonate levels, Threonine levels (Biocrates platform), Threonine levels, Threonylphenylalanine levels"
Thiamine monophosphate (Reported Values: 2–15 nmol/L),"Thiamine-triphosphatase levels, Thiamin pyrophosphokinase 1 levels, Serum phosphate levels, Phosphate levels, Phosphorus levels."
Riboflavin (Reported Values: 5–100 nmol/L),"Riboflavin kinase levels (RFK.13059.33.3), Riboflavin kinase levels, Metabolite levels (ribitol), Ribitol levels, Riboflavin to 3-Indolepropionic acid ratio in coronary artery disease"
Flavin mononucleotide (Reported Values: 3–30 nmol/L),"Flavin adenine dinucleotide (FAD) levels, Flavin reductase levels, Serum levels of protein FLNA, Filamin-A levels (FLNA.11124.9.3), Fumarylacetoacetase levels (FAH.11424.4.3)"
Neopterin (Reported Values: 5-50 nmol/L),"Metabolite levels (pterin), Dihydrobiopterin levels, Metabolite levels (N-acetyltryptophan), N-acetyl neuraminic acid levels, N-acetylproline levels."
Cotinine (Reported Values: <3000 nmol/L),"Cotinine levels in current smokers, Smoking intensity (cotinine levels/cigarettes per day), Cotinine glucuronidation, Cotinine levels in smokers with chronic obstructive pulmonary disease, Cotinine and 3'-hydroxycotinine levels in current smokers"
Trans hydroxycotinine (Reported Values: <1500 nmol/L),"Hydroxycotinine levels, Metabolite levels (hydroxycotinine), 3-hydroxycotinine glucuronide levels, Hydroxy-cmpf levels, Hydroxy-cmpf (X-02269) levels"
Tryptophan (Reported Values: 40-90 µmol/L),"Tryptophan levels, Tryptophan levels (Biocrates platform), Metabolite levels (tryptophan), Tryptophan levels (Metabolon platform), Tryptophan levels in elite athletes"
Kynenurine (Reported Values: 1.0-3.0 µmol/L),"Metabolite levels (kynurenine; cmh_kynurenine; Kynurenine), Kynurenine levels, Plasma metabolome feature (hilic_2278) (Kynurenine), Metabolite levels (kynurenate; kynurenic acid; kynurenic_acid; Kynurenic_acid), N-acetylkynurenine (2) levels."
3Hydroxykynurenine (Reported Values: 25-80 nmol/L),"Metabolite levels (kynurenine; cmh_kynurenine; Kynurenine), Plasma metabolome feature (hilic_2278) (Kynurenine), Metabolite levels (kynurenate; kynurenic acid; kynurenic_acid; Kynurenic_acid), Urine 3-hydroxykynurenine levels in chronic kidney disease, Kynureninase levels (KYNU.4559.64.2)"
Kynurenic acid (Reported Values: 20-100 nmol/L),"Metabolite levels (kynurenate; kynurenic acid; kynurenic_acid; Kynurenic_acid), Kynurenine levels, Plasma metabolome feature (hilic_2278) (Kynurenine), Urine kynurenate levels in chronic kidney disease, Plasma kynurenate levels in chronic kidney disease"
Xanthurenic acid (Reported Values: 2-35 nmol/L),"Xanthurenate levels, Urine xanthurenate levels in chronic kidney disease, Plasma xanthurenate levels in chronic kidney disease, Metabolite levels (xanthurenate; cmh_xanthurenate; Xanthurenate), Xanthurenate levels in elite athletes"
Anthralinic acid (Reported Values: 7-30 nmol/L),"Metabolite levels (N-formylanthranilic acid), N-acetylaspartic acid levels, Succinic acid/Methylmalonic acid levels, 2,6-dihydroxybenzoic acid (X-09789) levels, Orotic acid levels."
